timeid,districtid,cases
2021-08-14,Ratnagiri,1738
2021-08-14,Sangli,6600
2021-08-14,Satara,7322
2021-08-14,Sindhudurg,1508
2021-08-14,Solapur,5110
2021-08-14,Thane,6610
2021-08-14,Wardha,170
2021-08-14,Washim,18
2021-08-14,Yavatmal,20
2021-08-14,East Garo Hills,43
2021-08-14,East Jaintia Hills,51
2021-08-14,East Khasi Hills,1578
2021-08-14,North Garo Hills,41
2021-08-14,Ribhoi,429
2021-08-14,South Garo Hills,41
2021-08-14,South West Garo Hills,41
2021-08-14,South West Khasi Hills,207
2021-08-14,West Garo Hills,450
2021-08-14,West Jaintia Hills,442
2021-08-14,West Khasi Hills,608
2021-08-14,Churachandpur,0
2021-08-14,Unknown,6528
2021-08-14,Agar Malwa,0
2021-08-14,Alirajpur,0
2021-08-14,Anuppur,0
2021-08-14,Ashoknagar,0
2021-08-14,Balaghat,12
2021-08-14,Barwani,6
2021-08-14,Betul,34
2021-08-14,Bhind,2
2021-08-14,Bhopal,241
2021-08-14,Burhanpur,0
2021-08-14,Chhatarpur,10
2021-08-14,Chhindwara,0
2021-08-14,Damoh,93
2021-08-14,Datia,6
2021-08-14,Dewas,0
2021-08-14,Dhar,15
2021-08-14,Dindori,6
2021-08-14,Guna,3
2021-08-14,Gwalior,36
2021-08-14,Harda,5
2021-08-14,Hoshangabad,11
2021-08-14,Indore,216
2021-08-14,Jabalpur,79
2021-08-14,Jhabua,5
2021-08-14,Katni,3
2021-08-14,Khandwa,0
2021-08-14,Khargone,10
2021-08-14,Mandla,4
2021-08-14,Mandsaur,1
2021-08-14,Morena,6
2021-08-14,Narsinghpur,4
2021-08-14,Neemuch,12
2021-08-14,Niwari,9
2021-08-14,Panna,6
2021-08-14,Raisen,9
2021-08-14,Rajgarh,38
2021-08-14,Ratlam,32
2021-08-14,Rewa,6
2021-08-14,Sagar,49
2021-08-14,Satna,3
2021-08-14,Sehore,6
2021-08-14,Seoni,7
2021-08-14,Shahdol,4
2021-08-14,Shajapur,2
2021-08-14,Sheopur,1
2021-08-14,Shivpuri,7
2021-08-14,Sidhi,0
2021-08-14,Singrauli,5
2021-08-14,Tikamgarh,7
2021-08-14,Ujjain,4
2021-08-14,Umaria,6
2021-08-14,Unknown,-914
2021-08-14,Vidisha,4
2021-08-14,Aizawl,7396
2021-08-14,Champhai,256
2021-08-14,Hnahthial,27
2021-08-14,Khawzawl,0
2021-08-14,Kolasib,966
2021-08-14,Lawngtlai,392
2021-08-14,Lunglei,481
2021-08-14,Mamit,487
2021-08-14,Saiha,144
2021-08-14,Saitual,11
2021-08-14,Serchhip,31
2021-08-14,Dimapur,1041
2021-08-14,Kiphire,18
2021-08-14,Kohima,437
2021-08-14,Longleng,41
2021-08-14,Mokokchung,269
2021-08-14,Mon,39
2021-08-14,Peren,85
2021-08-14,Phek,7
