Stateid,timeid,dose1,dose2
BR,28,0.0,0.0
BR,29,0.0,0.0
BR,30,0.0,0.0
BR,31,0.0,0.0
BR,32,0.0,0.0
BR,33,0.0,0.0
BR,34,0.0,0.0
BR,35,0.0,0.0
BR,36,0.0,0.0
BR,37,0.0,0.0
BR,38,0.0,0.0
BR,39,0.0,0.0
BR,40,0.0,0.0
BR,41,0.0,0.0
BR,42,0.0,0.0
BR,43,0.0,0.0
BR,44,2967.0,0.0
BR,45,35442.0,0.0
BR,46,67342.0,0.0
BR,47,224576.0,0.0
BR,48,121379.0,55.0
BR,49,67654.0,38347.0
BR,50,39961.0,39826.0
BR,51,84363.0,106740.0
BR,52,429095.0,107410.0
BR,53,379926.0,75699.0
BR,54,637591.0,40374.0
BR,55,672940.0,24127.0
BR,56,1190747.0,104666.0
BR,57,941202.0,145577.0
BR,58,585058.0,199000.0
BR,59,448482.0,237224.0
BR,60,375673.0,359313.0
BR,61,875670.0,211098.0
BR,62,612349.0,40111.0
BR,63,638997.0,43592.0
BR,64,652055.0,65897.0
BR,65,948946.0,67327.0
BR,66,1439227.0,131631.0
BR,67,2036374.0,137168.0
BR,68,1215113.0,220262.0
BR,69,1158201.0,278383.0
BR,70,1671900.0,436012.0
BR,71,1098865.0,293284.0
BR,72,1899663.0,487583.0
BR,73,2393761.0,508959.0
BR,74,2221859.0,459602.0
CH,1,0.0,0.0
CH,2,0.0,0.0
CH,3,0.0,0.0
CH,4,0.0,0.0
CH,5,0.0,0.0
CH,6,0.0,0.0
CH,7,0.0,0.0
CH,8,0.0,0.0
CH,9,0.0,0.0
CH,10,0.0,0.0
CH,11,0.0,0.0
CH,12,0.0,0.0
CH,13,0.0,0.0
CH,14,0.0,0.0
CH,15,0.0,0.0
CH,16,0.0,0.0
CH,17,0.0,0.0
CH,18,0.0,0.0
CH,19,0.0,0.0
CH,20,0.0,0.0
CH,21,0.0,0.0
CH,22,0.0,0.0
CH,23,0.0,0.0
CH,24,0.0,0.0
CH,25,0.0,0.0
CH,26,0.0,0.0
CH,27,0.0,0.0
CH,28,0.0,0.0
CH,29,0.0,0.0
CH,30,0.0,0.0
CH,31,0.0,0.0
CH,32,0.0,0.0
CH,33,0.0,0.0
CH,34,0.0,0.0
CH,35,0.0,0.0
CH,36,0.0,0.0
CH,37,0.0,0.0
CH,38,0.0,0.0
CH,39,0.0,0.0
CH,40,0.0,0.0
CH,41,0.0,0.0
CH,42,0.0,0.0
CH,43,0.0,0.0
CH,44,120.0,0.0
CH,45,670.0,0.0
CH,46,1416.0,0.0
CH,47,1652.0,0.0
CH,48,2851.0,117.0
CH,49,3670.0,629.0
CH,50,6548.0,894.0
CH,51,10599.0,1513.0
CH,52,10773.0,2549.0
CH,53,9532.0,3134.0
CH,54,7357.0,2411.0
CH,55,19340.0,2062.0
CH,56,22216.0,4955.0
CH,57,20990.0,7256.0
CH,58,20260.0,11207.0
CH,59,25605.0,12890.0
CH,60,23846.0,13379.0
CH,61,23717.0,10676.0
CH,62,26558.0,950.0
CH,63,27027.0,232.0
CH,64,38028.0,244.0
CH,65,22874.0,633.0
CH,66,47250.0,1427.0
CH,67,44405.0,4400.0
CH,68,39330.0,13394.0
CH,69,33578.0,20091.0
